[2026-07-20T01:28:34.996Z] === Item Extractor Started ===
[2026-07-20T01:28:34.997Z] WS addEventListener hooked
[2026-07-20T02:09:14.872Z] WS send cmd=33086
[2026-07-20T02:09:17.888Z] WS send cmd=38206
[2026-07-20T02:09:25.939Z] WS send cmd=33086
[2026-07-20T02:09:37.010Z] WS send cmd=33086
[2026-07-20T02:09:48.074Z] WS send cmd=38206
[2026-07-20T02:09:48.074Z] WS send cmd=33086
[2026-07-20T02:09:59.140Z] WS send cmd=33086
[2026-07-20T02:10:10.209Z] WS send cmd=33086
[2026-07-20T02:10:18.259Z] WS send cmd=38206
[2026-07-20T02:10:21.277Z] WS send cmd=33086
[2026-07-20T02:10:32.358Z] WS send cmd=33086
[2026-07-20T02:10:43.426Z] WS send cmd=33086
[2026-07-20T02:10:48.457Z] WS send cmd=38206
[2026-07-20T02:10:54.491Z] WS send cmd=33086
[2026-07-20T02:11:05.569Z] WS send cmd=33086
[2026-07-20T02:11:16.631Z] WS send cmd=33086
[2026-07-20T02:11:18.642Z] WS send cmd=38206
[2026-07-20T02:11:27.697Z] WS send cmd=33086
[2026-07-20T02:11:38.759Z] WS send cmd=33086
[2026-07-20T02:11:48.824Z] WS send cmd=38206
[2026-07-20T02:11:49.829Z] WS send cmd=33086
[2026-07-20T02:12:00.893Z] WS send cmd=33086
[2026-07-20T02:12:11.964Z] WS send cmd=33086
[2026-07-20T02:12:19.003Z] WS send cmd=38206
[2026-07-20T02:12:23.030Z] WS send cmd=33086
[2026-07-20T02:12:34.102Z] WS send cmd=33086
[2026-07-20T02:12:45.161Z] WS send cmd=33086
[2026-07-20T02:12:49.184Z] WS send cmd=38206
[2026-07-20T02:12:56.228Z] WS send cmd=33086
[2026-07-20T02:13:07.293Z] WS send cmd=33086
[2026-07-20T02:13:18.361Z] WS send cmd=33086
[2026-07-20T02:13:19.367Z] WS send cmd=38206
[2026-07-20T02:13:29.426Z] WS send cmd=33086
[2026-07-20T02:13:40.496Z] WS send cmd=33086
[2026-07-20T02:13:49.547Z] WS send cmd=38206
[2026-07-20T02:13:51.559Z] WS send cmd=33086
[2026-07-20T02:14:02.636Z] WS send cmd=33086
[2026-07-20T02:14:13.697Z] WS send cmd=33086
[2026-07-20T02:14:19.733Z] WS send cmd=38206
[2026-07-20T02:14:24.763Z] WS send cmd=33086
[2026-07-20T02:14:35.825Z] WS send cmd=33086
[2026-07-20T02:14:46.895Z] WS send cmd=33086
[2026-07-20T02:14:49.913Z] WS send cmd=38206
[2026-07-20T02:14:57.954Z] WS send cmd=33086
[2026-07-20T02:15:09.036Z] WS send cmd=33086
[2026-07-20T02:15:20.104Z] WS send cmd=38206
[2026-07-20T02:15:20.104Z] WS send cmd=33086
[2026-07-20T02:15:31.172Z] WS send cmd=33086
[2026-07-20T02:15:42.234Z] WS send cmd=33086
[2026-07-20T02:15:50.284Z] WS send cmd=38206
[2026-07-20T02:15:53.303Z] WS send cmd=33086
[2026-07-20T02:16:04.381Z] WS send cmd=33086
[2026-07-20T02:16:15.449Z] WS send cmd=33086
[2026-07-20T02:16:20.493Z] WS send cmd=38206
[2026-07-20T02:16:26.534Z] WS send cmd=33086
[2026-07-20T02:16:37.604Z] WS send cmd=33086
[2026-07-20T02:16:48.673Z] WS send cmd=33086
[2026-07-20T02:16:50.685Z] WS send cmd=38206
[2026-07-20T02:16:59.742Z] WS send cmd=33086
[2026-07-20T02:17:10.807Z] WS send cmd=33086
[2026-07-20T02:17:20.870Z] WS send cmd=38206
[2026-07-20T02:17:21.877Z] WS send cmd=33086
[2026-07-20T02:17:32.939Z] WS send cmd=33086
[2026-07-20T02:17:44.009Z] WS send cmd=33086
[2026-07-20T02:17:51.054Z] WS send cmd=38206
[2026-07-20T02:17:55.078Z] WS send cmd=33086
[2026-07-20T02:18:06.157Z] WS send cmd=33086
